Line,Part ID,Item,Spec,Supplier Options,Part # / SKU,Price Range,Lead Time,Min Order,Notes
1,NGO-B01,Black Walnut 4/4 lumber,Straight grain; 4 bd ft min for Kamele 10,Woodcraft / Hearne Hardwoods / local hardwood dealer,—,$5–8/bd ft,In stock typically,1 bd ft,Avoid figured or heavily spalted grain for structural rings
2,NGO-N01,Hard Maple neck blank,"30"" × 1.5"" × 1.5"" (or longer for waste)",Woodcraft / online hardwood supplier,—,$4–7/bd ft,In stock typically,1 piece,S4S preferred; ensure grain runs full length
3,NGO-H01,Goatskin rawhide,Raw untanned preferred; 16 in+ Ø,Sioux Trading Post / Tandy Leather / Rocky Mountain Rawhide,—,$15–35/skin,1–3 weeks,1 skin,Rawhide (not chrome-tanned) so it stretches; verify diameter before ordering
4,NGO-BR01,Hard Maple bridge blank,"4"" × 2"" × 0.75"" cutoff",Scrap from neck or lumber order,—,~$1–3 scrap,—,—,Can cut from neck blank waste
5,NGO-S01,Nylon monofilament 0.85 mm,Nylon; clear or brown,eBay bulk nylon / Aquaseal / Amazon bulk fishing line,—,$5–12 / 100 m spool,In stock,1 spool,Guitar-string nylon is same material; buy bulk and cut
6,NGO-S02,Nylon monofilament 0.95 mm,Same as above,Same as NGO-S01,—,$5–12 / 100 m,In stock,1 spool,—
7,NGO-S03,Nylon monofilament 1.05 mm,Same as above,Same as NGO-S01,—,$5–12 / 100 m,In stock,1 spool,—
8,NGO-S04,Nylon monofilament 1.20 mm,Same as above,Same as NGO-S01,—,$5–12 / 100 m,In stock,1 spool,—
9,NGO-HW01,Braided leather cord (konso),3–5 mm braided; natural or dyed,Tandy Leather / local craft store,—,$3–8 / 10 ft,In stock,1 package,Traditional slide tuning; 12–15 in per string
10,NGO-HW02,Steel rod 3/8 in Ø,Cold-rolled steel 3/8 in Ø × 12 in,Hardware store (Ace / Home Depot),—,<$5,In stock,1 piece,String anchor tail rod at bowl base; or use a hardwood dowel
11,NGO-HW03,Upholstery tacks,Standard size; 3/8 in shank,Fabric / upholstery store or Amazon,—,<$5 / pack,In stock,1 pack,Used to hold skin while drying; remove after or leave in
12,NGO-F01,Titebond III,8 oz,Woodcraft / Amazon,Titebond 1414,$8–12,In stock,1 bottle,Waterproof; ideal for bowl segment glue-up
13,NGO-F02,Tung oil finish,Pure tung oil 8 oz,Woodcraft / Amazon,Various,$10–18,In stock,1 bottle,Apply to bowl + neck only; avoid skin
14,NGO-E01,Piezo disc 27 mm,27 mm disc; contact mic type,Amazon / AliExpress,—,$1–5 each,1–2 weeks,5 pack min,Optional electric option
15,NGO-E02,Preamp + jack,9V belt-clip or under-skin,Amazon / Fishman / LR Baggs,—,$20–80,1–2 weeks,1,Optional; Fishman Matrix is a drop-in option
